Dish Number,재료명,재료,이미지1,이미지2,이미지3,이미지4,이미지5,이미지6,설명1,설명2,설명3,설명4,설명5,설명6,알러지 정보,칼로리,
1,돼지고기 김치볶음,"돼지고기, 김치, 다진 마늘, 간장, 고춧가루",http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/1.webp,http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/2.webp,http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/3.webp,http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/4.webp,http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/5.webp,http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/6.webp,냄비에 기름을 두르고 돼지고기와 감자를 넣어 갈색이 될 때까지 볶습니다.,"잘게 썬 김치를 추가하고, 김치를 살짝 익혀 매콤한 향이 올라올 때까지 볶아주세요.",돼지고기가 반쯤 익으면 불을 약간 줄이고 고기 기름이 잘 배어나오도록 볶아주세요.,고춧가루 등 조미료를 돼지고기와 김치 위에 골고루 뿌리고 잘 섞어줍니다.,김치와 돼지고기가 부드럽게 익고 양념이 잘 배었다면 불을 끄고 참기름을 약간 뿌려줍니다.,접시에 담아 대파와 참깨로 마무리 장식을 하면 완성입니다.,"돼지고기, 어류/갑각류(김치 속 해산물), 대두(간장), 참깨(참기름)",약 350-400 kcal,"INSERT INTO test_recipe VALUES (1, '돼지고기 김치볶음', '돼지고기, 김치, 다진 마늘, 간장, 고춧가루', 'http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/1. 돼지고기 김치볶음/6.webp', '냄비에 기름을 두르고 돼지고기와 감자를 넣어 갈색이 될 때까지 볶습니다.', '잘게 썬 김치를 추가하고, 김치를 살짝 익혀 매콤한 향이 올라올 때까지 볶아주세요.', '돼지고기가 반쯤 익으면 불을 약간 줄이고 고기 기름이 잘 배어나오도록 볶아주세요.', '고춧가루 등 조미료를 돼지고기와 김치 위에 골고루 뿌리고 잘 섞어줍니다.', '김치와 돼지고기가 부드럽게 익고 양념이 잘 배었다면 불을 끄고 참기름을 약간 뿌려줍니다.', '접시에 담아 대파와 참깨로 마무리 장식을 하면 완성입니다.', '돼지고기, 어류/갑각류(김치 속 해산물), 대두(간장), 참깨(참기름)', '약 350-400 kcal');"
2,돼지고기 감자탕,"돼지고기 등뼈, 감자, 대파, 다진 마늘, 된장, 고춧가루, 소금, 후추",http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/1.webp,http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/2.webp,http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/3.webp,http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/4.webp,http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/5.webp,http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/6.webp,"끓는 물에 뼈를 넣고 5분 정도 데쳐서 불순물을 제거한 후, 흐르는 물에 깨끗이 헹굽니다.","큰 냄비에 뼈와 물을 넣고 대파, 마늘, 생강을 함께 넣어 1시간 이상 중불로 끓여 진한 육수를 만듭니다.",껍질을 벗겨 먹기 좋은 크기로 썰어 둔 감자를 냄비에 같이 넣어 끓여줍니다.,"고춧가루, 된장, 고추장, 간장, 다진 마늘, 다진 생강을 섞어 양념장을 만들어 넣고 감자가 익을 때까지 중불로 끓입니다.","배추나 우거지를 넣고, 모든 재료가 부드럽게 익을 때까지 더 끓여줍니다.","마지막으로 대파와 청양고추를 넣어 한 번 더 끓이고, 불을 끈 후 들깨가루와 참깨를 뿌려 고소한 맛을 더하면 완성입니다.","돼지고기, 대두(간장), 참깨(참기름)",약 450-500 kcal,"INSERT INTO test_recipe VALUES (2, '돼지고기 감자탕', '돼지고기 등뼈, 감자, 대파, 다진 마늘, 된장, 고춧가루, 소금, 후추', 'http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/1.webp', 'http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/2.webp', 'http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/3.webp', 'http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/4.webp', 'http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/5.webp', 'http://kkms4001.iptime.org:45211/static/2. 돼지고기 감자탕/6.webp', '끓는 물에 뼈를 넣고 5분 정도 데쳐서 불순물을 제거한 후, 흐르는 물에 깨끗이 헹굽니다.', '큰 냄비에 뼈와 물을 넣고 대파, 마늘, 생강을 함께 넣어 1시간 이상 중불로 끓여 진한 육수를 만듭니다.', '껍질을 벗겨 먹기 좋은 크기로 썰어 둔 감자를 냄비에 같이 넣어 끓여줍니다.', '고춧가루, 된장, 고추장, 간장, 다진 마늘, 다진 생강을 섞어 양념장을 만들어 넣고 감자가 익을 때까지 중불로 끓입니다.', '배추나 우거지를 넣고, 모든 재료가 부드럽게 익을 때까지 더 끓여줍니다.', '마지막으로 대파와 청양고추를 넣어 한 번 더 끓이고, 불을 끈 후 들깨가루와 참깨를 뿌려 고소한 맛을 더하면 완성입니다.', '돼지고기, 대두(간장), 참깨(참기름)', '약 450-500 kcal');"
3,돼지고기 떡볶이,"돼지고기, 떡, 고추장, 설탕, 간장, 다진 마늘, 대파, 양파",http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/1.webp,http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/2.webp,http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/3.webp,http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/4.webp,http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/5.webp,http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/6.webp,돼지고기를 얇게 썰어 한 입 크기로 자르고 소금과 후추로 간을 살짝 하여 밑간을 해줍니다.,팬에 기름을 두르고 중불에서 돼지고기를 볶습니다.,돼지고기가 반 정도 익으면 팬 가장자리로 밀어두고 가운데에 양념장을 넣어 향을 내며 볶습니다.,"양념이 잘 섞인 돼지고기에 떡을 추가하고, 양념을 충분히 흡수할 수 있도록 중불에서 잘 저어줍니다.","물을 약간 붓고, 양념이 떡과 고기에 잘 배면서 국물이 살짝 졸아들 때까지 중약불로 끓입니다.",떡과 고기가 다 익으면 대파를 추가하고 마지막으로 참기름을 살짝 둘러 고소한 맛을 더해줍니다.,"돼지고기, 대두(간장), 밀(떡볶이 떡), 참깨(참기름)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (3, '돼지고기 떡볶이', '돼지고기, 떡, 고추장, 설탕, 간장, 다진 마늘, 대파, 양파', 'http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/1.webp', 'http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/2.webp', 'http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/3.webp', 'http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/4.webp', 'http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/5.webp', 'http://kkms4001.iptime.org:45211/static/3. 돼지고기 떡볶이/6.webp', '돼지고기를 얇게 썰어 한 입 크기로 자르고 소금과 후추로 간을 살짝 하여 밑간을 해줍니다.', '팬에 기름을 두르고 중불에서 돼지고기를 볶습니다.', '돼지고기가 반 정도 익으면 팬 가장자리로 밀어두고 가운데에 양념장을 넣어 향을 내며 볶습니다.', '양념이 잘 섞인 돼지고기에 떡을 추가하고, 양념을 충분히 흡수할 수 있도록 중불에서 잘 저어줍니다.', '물을 약간 붓고, 양념이 떡과 고기에 잘 배면서 국물이 살짝 졸아들 때까지 중약불로 끓입니다.', '떡과 고기가 다 익으면 대파를 추가하고 마지막으로 참기름을 살짝 둘러 고소한 맛을 더해줍니다.', '돼지고기, 대두(간장), 밀(떡볶이 떡), 참깨(참기름)', '약 400-450 kcal');"
4,돼지고기 대파볶음,"돼지고기, 대파, 다진 마늘, 간장, 소금, 후추",http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/1.webp,http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/2.webp,http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/3.webp,http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/4.webp,http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/5.webp,http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/6.webp,팬에 기름을 두르고 중불에서 돼지고기를 볶아줍니다.,"돼지고기가 반 정도 익으면 팬 가장자리로 밀어두고, 기름이 충분히 나오도록 합니다.",준비된 대파를 팬에 넣고 돼지고기와 함께 볶습니다.,"간장, 고춧가루, 다진 마늘, 참기름을 넣어 간을 맞추고 돼지고기와 대파가 잘 어우러지도록 볶아줍니다.",필요하면 설탕이나 올리고당을 약간 추가해 단맛을 더할 수 있습니다.,모든 재료가 고르게 익고 양념이 잘 배면 불을 끄고 참깨를 뿌려 고소한 맛을 더합니다.,"돼지고기, 대두(간장), 참깨(참기름)",약 300-350 kcal,"INSERT INTO test_recipe VALUES (4, '돼지고기 대파볶음', '돼지고기, 대파, 다진 마늘, 간장, 소금, 후추', 'http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/4. 돼지고기 대파볶음/6.webp', '팬에 기름을 두르고 중불에서 돼지고기를 볶아줍니다.', '돼지고기가 반 정도 익으면 팬 가장자리로 밀어두고, 기름이 충분히 나오도록 합니다.', '준비된 대파를 팬에 넣고 돼지고기와 함께 볶습니다.', '간장, 고춧가루, 다진 마늘, 참기름을 넣어 간을 맞추고 돼지고기와 대파가 잘 어우러지도록 볶아줍니다.', '필요하면 설탕이나 올리고당을 약간 추가해 단맛을 더할 수 있습니다.', '모든 재료가 고르게 익고 양념이 잘 배면 불을 끄고 참깨를 뿌려 고소한 맛을 더합니다.', '돼지고기, 대두(간장), 참깨(참기름)', '약 300-350 kcal');"
5,돼지고기 양파덮밥,"돼지고기, 양파, 간장, 설탕, 후추, 밥",http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/1.webp,http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/2.webp,http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/3.webp,http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/4.webp,http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/5.webp,http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/6.webp,팬에 기름을 약간 두르고 중불에서 돼지고기가 반쯤 익고 기름이 나올 때까지 충분히 볶아줍니다.,"준비된 양파를 돼지고기와 함께 팬에 넣고, 간장, 설탕, 다진 마늘, 물 약간을 넣어 간을 맞추며 조립니다.",양념이 돼지고기와 양파에 잘 배고 소스가 적당히 졸아들 때까지 중약불에서 조려줍니다.,맛을 보고 부족한 간을 소금이나 간장으로 추가해 맞춥니다.,마지막으로 대파와 청양고추를 넣어 한 번 더 볶아줍니다.,"완성된 돼지고기와 양파를 뜨거운 밥 위에 얹고, 마지막에 참기름을 살짝 두른 후 참깨를 뿌려 장식하면 됩니다.","돼지고기, 대두(간장), 참깨(참기름)",약 300-350 kcal,"INSERT INTO test_recipe VALUES (5, '돼지고기 양파덮밥', '돼지고기, 양파, 간장, 설탕, 후추, 밥', 'http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/1.webp', 'http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/2.webp', 'http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/3.webp', 'http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/4.webp', 'http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/5.webp', 'http://kkms4001.iptime.org:45211/static/5. 돼지고기 양파덮밥/6.webp', '팬에 기름을 약간 두르고 중불에서 돼지고기가 반쯤 익고 기름이 나올 때까지 충분히 볶아줍니다.', '준비된 양파를 돼지고기와 함께 팬에 넣고, 간장, 설탕, 다진 마늘, 물 약간을 넣어 간을 맞추며 조립니다.', '양념이 돼지고기와 양파에 잘 배고 소스가 적당히 졸아들 때까지 중약불에서 조려줍니다.', '맛을 보고 부족한 간을 소금이나 간장으로 추가해 맞춥니다.', '마지막으로 대파와 청양고추를 넣어 한 번 더 볶아줍니다.', '완성된 돼지고기와 양파를 뜨거운 밥 위에 얹고, 마지막에 참기름을 살짝 두른 후 참깨를 뿌려 장식하면 됩니다.', '돼지고기, 대두(간장), 참깨(참기름)', '약 300-350 kcal');"
6,돼지고기 마늘볶음,"돼지고기, 마늘, 소금, 후추, 대파",http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/1.webp,http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/2.webp,http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/3.webp,http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/4.webp,http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/5.webp,http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/6.webp,기름을 약간 두르고 중불에서 돼지고기를 먼저 볶습니다.,팬 가운데에 마늘을 넣고 노릇하게 볶아 향을 내고 같이 잘 볶습니다.,"간장, 설탕, 참기름을 넣어 간을 맞추고 고기와 마늘이 양념에 잘 배도록 볶아줍니다.",매콤한 맛을 원한다면 고춧가루나 청양고추를 추가할 수 있습니다.,대파를 넣고 마지막으로 한 번 더 볶아줍니다.,모든 재료가 고르게 익고 윤기가 나면 불을 끄고 참깨를 뿌려 마무리합니다.,"돼지고기, 대두(간장), 참깨(참기름)",약 350-400 kcal,"INSERT INTO test_recipe VALUES (6, '돼지고기 마늘볶음', '돼지고기, 마늘, 소금, 후추, 대파', 'http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/6. 돼지고기 마늘볶음/6.webp', '기름을 약간 두르고 중불에서 돼지고기를 먼저 볶습니다.', '팬 가운데에 마늘을 넣고 노릇하게 볶아 향을 내고 같이 잘 볶습니다.', '간장, 설탕, 참기름을 넣어 간을 맞추고 고기와 마늘이 양념에 잘 배도록 볶아줍니다.', '매콤한 맛을 원한다면 고춧가루나 청양고추를 추가할 수 있습니다.', '대파를 넣고 마지막으로 한 번 더 볶아줍니다.', '모든 재료가 고르게 익고 윤기가 나면 불을 끄고 참깨를 뿌려 마무리합니다.', '돼지고기, 대두(간장), 참깨(참기름)', '약 350-400 kcal');"
7,돼지고기 김치 감자조림,"돼지고기, 김치, 감자, 간장, 고춧가루, 대파, 마늘, 양파, 떡",http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/1.webp,http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/2.webp,http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/3.webp,http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/4.webp,http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/5.webp,http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/6.webp,냄비나 깊은 팬에 기름을 두르고 중불에서 돼지고기를 볶아 기름을 살짝 배어나오게 합니다.,준비한 김치와 감자를 돼지고기와 함께 넣고 고루 섞어가며 볶습니다.,김치의 매운 향이 올라오고 감자가 살짝 익기 시작할 때까지 중불에서 볶아줍니다.,"물을 약간 부어 재료가 잠길 정도로 하고, 간장, 고춧가루, 다진 마늘, 김치 국물 등을 넣어 간을 맞춥니다.",국물이 적당히 졸아들고 감자가 충분히 익으면 참기름을 약간 둘러 고소함을 더합니다.,참깨와 다진 파를 뿌려 장식하면 완성입니다.,"돼지고기, 어류/갑각류(김치 속 해산물), 대두(간장), 참깨(참기름)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (7, '돼지고기 김치 감자조림', '돼지고기, 김치, 감자, 간장, 고춧가루, 대파, 마늘, 양파, 떡', 'http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/1.webp', 'http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/2.webp', 'http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/3.webp', 'http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/4.webp', 'http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/5.webp', 'http://kkms4001.iptime.org:45211/static/7. 돼지고기 김치 감자조림/6.webp', '냄비나 깊은 팬에 기름을 두르고 중불에서 돼지고기를 볶아 기름을 살짝 배어나오게 합니다.', '준비한 김치와 감자를 돼지고기와 함께 넣고 고루 섞어가며 볶습니다.', '김치의 매운 향이 올라오고 감자가 살짝 익기 시작할 때까지 중불에서 볶아줍니다.', '물을 약간 부어 재료가 잠길 정도로 하고, 간장, 고춧가루, 다진 마늘, 김치 국물 등을 넣어 간을 맞춥니다.', '국물이 적당히 졸아들고 감자가 충분히 익으면 참기름을 약간 둘러 고소함을 더합니다.', '참깨와 다진 파를 뿌려 장식하면 완성입니다.', '돼지고기, 어류/갑각류(김치 속 해산물), 대두(간장), 참깨(참기름)', '약 400-450 kcal');"
8,돼지고기 떡국,"돼지고기, 떡, 국간장, 대파, 후추, 마늘",http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/1.webp,http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/2.webp,http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/3.webp,http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/4.webp,http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/5.webp,http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/6.webp,돼지고기를 넣고 중불에서 한소끔 끓여 돼지고기 육수의 깊은 맛을 우려냅니다.,"냄비에 물을 붓고 다진 마늘과 파, 약간의 소금이나 간장을 넣어 육수를 끓입니다.","떡이 넣고, 부드럽게 익을 때까지 끓입니다.","떡과 고기가 모두 익으면 대파를 넣고 간장, 소금으로 간을 맞춥니다. ",달걀을 풀어 넣고 한 번 더 끓여 부드럽게 만듭니다.,참기름을 살짝 두른 후 참깨와 김가루를 뿌려 마무리하면 맛있는 돼지고기 떡국이 완성됩니다.,"돼지고기, 대두(간장), 밀(떡), 참깨(참기름)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (8, '돼지고기 떡국', '돼지고기, 떡, 국간장, 대파, 후추, 마늘', 'http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/1.webp', 'http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/2.webp', 'http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/3.webp', 'http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/4.webp', 'http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/5.webp', 'http://kkms4001.iptime.org:45211/static/8. 돼지고기 떡국/6.webp', '돼지고기를 넣고 중불에서 한소끔 끓여 돼지고기 육수의 깊은 맛을 우려냅니다.', '냄비에 물을 붓고 다진 마늘과 파, 약간의 소금이나 간장을 넣어 육수를 끓입니다.', '떡이 넣고, 부드럽게 익을 때까지 끓입니다.', '떡과 고기가 모두 익으면 대파를 넣고 간장, 소금으로 간을 맞춥니다. ', '달걀을 풀어 넣고 한 번 더 끓여 부드럽게 만듭니다.', '참기름을 살짝 두른 후 참깨와 김가루를 뿌려 마무리하면 맛있는 돼지고기 떡국이 완성됩니다.', '돼지고기, 대두(간장), 밀(떡), 참깨(참기름)', '약 400-450 kcal');"
9,돼지고기 대파 무침,"돼지고기, 대파, 간장, 고춧가루, 참기름, 소금",http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/1.webp,http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/2.webp,http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/3.webp,http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/4.webp,http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/5.webp,http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/6.webp,"돼지고기를 한 입 크기로 썰어 준비한 후, 끓는 물에 넣고 10분 정도 삶아 줍니다.",맛술과 생강을 약간 넣어주면 잡내를 제거할 수 있습니다. 고기가 익으면 물기를 제거하고 식혀 둡니다.,"고춧가루, 간장, 다진 마늘, 설탕, 식초, 참기름을 넣어 새콤달콤한 양념장을 만듭니다.","삶은 돼지고기와 준비한 대파를 큰 볼에 담고, 양념장을 넣어 골고루 버무립니다.",무침이 너무 건조하다면 약간의 참기름이나 간장을 더해 촉촉하게 만들어줍니다.,무침이 완성되면 접시에 담고 참깨를 뿌려 고소함을 더합니다.,"돼지고기, 대두(간장), 참깨(참기름)",약 250-300 kcal,"INSERT INTO test_recipe VALUES (9, '돼지고기 대파 무침', '돼지고기, 대파, 간장, 고춧가루, 참기름, 소금', 'http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/1.webp', 'http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/2.webp', 'http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/3.webp', 'http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/4.webp', 'http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/5.webp', 'http://kkms4001.iptime.org:45211/static/9. 돼지고기 대파 무침/6.webp', '돼지고기를 한 입 크기로 썰어 준비한 후, 끓는 물에 넣고 10분 정도 삶아 줍니다.', '맛술과 생강을 약간 넣어주면 잡내를 제거할 수 있습니다. 고기가 익으면 물기를 제거하고 식혀 둡니다.', '고춧가루, 간장, 다진 마늘, 설탕, 식초, 참기름을 넣어 새콤달콤한 양념장을 만듭니다.', '삶은 돼지고기와 준비한 대파를 큰 볼에 담고, 양념장을 넣어 골고루 버무립니다.', '무침이 너무 건조하다면 약간의 참기름이나 간장을 더해 촉촉하게 만들어줍니다.', '무침이 완성되면 접시에 담고 참깨를 뿌려 고소함을 더합니다.', '돼지고기, 대두(간장), 참깨(참기름)', '약 250-300 kcal');"
10,돼지고기 마늘 구이,"돼지고기, 마늘, 소금, 후추, 양파",http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/1.webp,http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/2.webp,http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/3.webp,http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/4.webp,http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/5.webp,http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/6.webp,돼지고기를 얇게 썰어 소금과 후추로 간을 맞춥니다.,팬을 예열하여 기름을 두르고 준비합니다.,양념한 돼지고기를 팬에 올려 한쪽 면이 노릇해질 때까지 굽습니다.,돼지고기를 뒤집고 얇게 썬 마늘을 함께 넣어 구워줍니다.,돼지고기와 마늘이 서로 향을 입힐 수 있도록 중불로 충분히 볶아줍니다.,완성된 돼지고기 마늘 구이를 그릇에 담고 다진 파와 참깨로 장식합니다.,"돼지고기, 대두(간장), 참깨(참기름)",약 350-400 kcal,"INSERT INTO test_recipe VALUES (10, '돼지고기 마늘 구이', '돼지고기, 마늘, 소금, 후추, 양파', 'http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/1.webp', 'http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/2.webp', 'http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/3.webp', 'http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/4.webp', 'http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/5.webp', 'http://kkms4001.iptime.org:45211/static/10. 돼지고기 마늘 구이/6.webp', '돼지고기를 얇게 썰어 소금과 후추로 간을 맞춥니다.', '팬을 예열하여 기름을 두르고 준비합니다.', '양념한 돼지고기를 팬에 올려 한쪽 면이 노릇해질 때까지 굽습니다.', '돼지고기를 뒤집고 얇게 썬 마늘을 함께 넣어 구워줍니다.', '돼지고기와 마늘이 서로 향을 입힐 수 있도록 중불로 충분히 볶아줍니다.', '완성된 돼지고기 마늘 구이를 그릇에 담고 다진 파와 참깨로 장식합니다.', '돼지고기, 대두(간장), 참깨(참기름)', '약 350-400 kcal');"
